Lead_ID,First_Name,Last_Name,Email_Address,Phone,Company,Job_Title,Industry_Sector,Status,Source,Country_Code,State,Zip_Code,Annual_Revenue_USD,Employee_Count,Size,Rating,Score,Campaign_Code,Product_Interest,Date_Created,Date_Converted,Last_Activity,Notes,Web_Site,Region
LATAM-LEAD-000001,Luis,Morales,luis.morales@innovacolombia.com,+54 9 87 4972-5234,InnovaColombia,CTO,Consumer Goods,Contacted,Advertisement,AR,,63728.0,35387487.0,4608.0,51-200,Cold,75.0,CUMBRE-TECH-2024,Cloud,2023-09-22,,2023-12-08,Lead from LinkedIn,www.innovacolombia.com.br,LATAM
LATAM-LEAD-000002,Ricardo,Pérez,ricardo.pérez@digitalperu.com.co,+56 614040147,DigitalPeru,Gerente,Finance,Converted,Email Marketing,AR,,47626.0,27802441.0,3881.0,1 to 10,Cold,16.0,T4-2024-WEBINAR,Analytics Platform,2022-07-24,2022-07-27,,Lead from web form,www.digitalperu.com.br,LATAM
LATAM-LEAD-000003,Luis,López,luis.lópez@dataargentina.cl,+56 887953479,DataArgentina,,Education,Nurturing,Partner,Chile,,53354.0,42244664.0,3871.0,1-10,,10.0,,Cloud,2022-10-31,,2022-11-08,,www.dataargentina.com.br,LATAM
LATAM-LEAD-000004,Luis,García,LUIS.GARCÍA@digitalperu.cl,+55 33 93121-7674,DigitalPeru,VP Ventas,,Nurturing,Cold Call,Brazil,RJ,48371.0,27384952.0,892.0,1-10,B,57.0,t4-2024-webinar,Cloud,2023-11-02,,2024-01-29,Lead from Website,www.digitalperu.com.br,LATAM
LATAM-LEAD-000005,Fernando,Silva,fernando.silva@tecnobrasil.com.br,+56 794317061,TecnoBrasil,,Finance,Qualified,Trade Show,Brasil,RJ,49596.0,21476653.0,,201-1000,C,20.0,PROMO-NAVIDAD-2024,cloud suite,2023-10-05,,2023-11-09,Lead from Email Marketing,,LATAM
LATAM-LEAD-000006,Carmen,Morales,CARMEN.MORALES@cloudchile.com.ar,+54 9 83 2766-4531,CloudChile,CEO,Technology,Converted,LinkedIn,Brazil,,71400.0,49362149.0,3514.0,Large,C,1.0,EMAIL-NUTRICION,cloud suite,2023-02-12,2023-03-24,2023-04-14,Lead from Email Marketing,www.cloudchile.com.br,LATAM
LATAM-LEAD-000007,Carmen,García,carmen.garcía@tecnobrasil.com.ar,+54 9 43 8989-3795,TecnoBrasil,CEO,Technology,Converted,LinkedIn,AR,RJ,,30866237.0,,1 to 10,Hot,,t4-2024-webinar,Analytics Platform,2022-12-22,2023-01-06,2023-03-16,Lead from Trade Show,,LATAM
LATAM-LEAD-000008,Carmen,Silva,carmen.silva@example.com.br,+54 9 91 9113-6261,,CTO,Tech,Disqualified,Referral,Peru,,33970.0,3458559.0,4446.0,201-1000,HOT,,t4-2024-webinar,Integration Tools,2024-04-27,,2024-06-09,Lead from Referral,,LATAM
LATAM-LEAD-000009,José,Oliveira,josé.oliveira@solucionessmart.cl,+56 365649553,SolucionesSmart,,Retail,Converted,Website,Argentina,SP,23071.0,,,1-10,Warm,65.0,T4-2024-WEBINAR,Analytics Platform,2022-03-24,,2022-06-20,Lead from web form,,LATAM
LATAM-LEAD-000010,Maria,González,maria.gonzález@tecnobrasil.com.br,+57 845654564,TecnoBrasil,Jefe de TI,Healthcare,Converted,web form,Chile,SP,32631.0,33132995.0,2095.0,201-1000,A,23.0,PROMO-NAVIDAD-2024,Cloud Suite,2024-09-19,,2024-10-26,,,LATAM
LATAM-LEAD-000011,José,López,josé.lópez@solucionessmart.com.br,+56 411274300,SolucionesSmart,CTO,Manufacturing,,Advertisement,Brazil,,88541.0,22285762.0,,Large,Hot,1.0,CUMBRE-TECH-2024,Cloud,2023-06-18,,2023-08-21,Lead from Referral,www.solucionessmart.com.br,LATAM
LATAM-LEAD-000012,Carmen,García,carmen.garcía@example.com.ar,,,Jefe de TI,Tech,Converted,LinkedIn,AR,,72149.0,11541816.0,2948.0,1 to 10,Cold,,T4-2024-WEBINAR,Integration Tools,2024-10-14,2024-11-30,2024-10-24,,,LATAM
LATAM-LEAD-000013,Patricia,Oliveira,patricia.oliveira@tecnobrasil.com.co,+55 50 95174-7590,TecnoBrasil,CEO,Tech,Qualified,LinkedIn,Colombia,RJ,32591.0,48600909.0,1483.0,1-10,,42.0,t4-2024-webinar,Security Suite,2024-01-26,,2024-01-29,Lead from None,www.tecnobrasil.com.br,LATAM
LATAM-LEAD-000014,Ana,García,ANA.GARCÍA@dataargentina.com.ar,+56 263036971,DataArgentina,Director,Healthcare,New,Referral,Chile,,24765.0,36226473.0,3577.0,,,51.0,CUMBRE-TECH-2024,Cloud Suite,2023-04-02,2023-05-09,,Lead from None,www.dataargentina.com.br,LATAM
LATAM-LEAD-000015,Fernando,Pérez,fernando.pérez@tecnobrasil.com.br,+55 74 98156-8245,TecnoBrasil,gerente,Finance,Converted,LinkedIn,Chile,MG,46932.0,26896286.0,982.0,1 to 10,,27.0,CUMBRE-TECH-2024,,2024-03-08,2024-04-12,,Lead from Partner,www.tecnobrasil.com.br,LATAM
LATAM-LEAD-000016,José,Santos,josé.santos@innovacolombia.com,,InnovaColombia,CTO,TECH,Converted,Advertisement,CO,,24669.0,,3667.0,51-200,,76.0,,Security Suite,2023-01-10,2023-01-22,2023-03-18,,,LATAM
LATAM-LEAD-000017,Laura,García,laura.garcía@dataargentina.com.ar,+55 54 93222-3642,DataArgentina,gerente,Education,Converted,LinkedIn,CO,SP,,22020268.0,2223.0,201-1000,A,0.0,CUMBRE-TECH-2024,Cloud,2022-02-10,2022-05-30,2022-04-04,Lead from web form,,LATAM
LATAM-LEAD-000018,Patricia,Fernández,patricia.fernández@tecnobrasil.com.ar,+55 81 93388-9218,TecnoBrasil,Dir,Tech,,Website,Argentina,,20918.0,42714111.0,4452.0,Medium,Cold,13.0,PROMO-NAVIDAD-2024,Integration Tools,2022-05-03,,2022-05-16,,,LATAM
LATAM-LEAD-000019,José,Costa,josé.costa@cloudchile.com.ar,+55 86 91037-9656,CloudChile,,Education,Qualified,Web Form,CL,MG,22448.0,28452953.0,3042.0,1 to 10,Cold,,,Cloud,2023-02-16,,,Lead from Trade Show,,LATAM
LATAM-LEAD-000020,Maria,Fernández,maria.fernández@cloudchile.cl,+54 9 78 5046-9864,CloudChile,CTO,Education,,Website,Colombia,,29749.0,25391343.0,3280.0,,,78.0,CUMBRE-TECH-2024,Cloud,2024-08-14,,2024-08-31,Lead from LinkedIn,www.cloudchile.com.br,LATAM
LATAM-LEAD-000021,Fernando,Fernández,fernando.fernández@cloudchile.com.co,,CloudChile,Dir,Consumer Goods,Converted,Web Form,Colombia,,90916.0,39712058.0,2504.0,11-50,HOT,50.0,EMAIL-NUTRICION,Cloud Suite,2023-12-05,2024-05-25,2024-02-13,Lead from Advertisement,www.cloudchile.com.br,LATAM
LATAM-LEAD-000022,Ricardo,González,ricardo.gonzález@digitalperu.com,+56 541257944,DigitalPeru,,Retail,Disqualified,Trade Show,Colombia,BA,86221.0,35883652.0,3129.0,1000+,Hot,40.0,T4-2024-WEBINAR,cloud suite,2023-12-22,,2024-03-15,Lead from Partner,www.digitalperu.com.br,LATAM
LATAM-LEAD-000023,Carmen,Oliveira,,+54 9 80 2002-1296,DataArgentina,gerente,Healthcare,Converted,Trade Show,CO,BA,39024.0,,4705.0,,A,5.0,CUMBRE-TECH-2024,Integration Tools,2022-03-06,2022-07-02,2022-05-14,Lead from web form,www.dataargentina.com.br,LATAM
LATAM-LEAD-000024,Isabel,Rodríguez,ISABEL.RODRÍGUEZ@dataargentina.com.br,+55 96 95651-7395,DataArgentina,VP Marketing,Financial Services,Nurturing,web form,Peru,RJ,,24087150.0,805.0,,B,24.0,EMAIL-NUTRICION,Cloud,2023-12-13,2024-02-11,2024-01-19,Lead from web form,,LATAM
LATAM-LEAD-000025,Isabel,Morales,isabel@invalid,+55 36 97007-7100,TecnoBrasil,Director,Technology,Qualified,LinkedIn,AR,BA,43038.0,,364.0,Medium,HOT,43.0,EMAIL-NUTRICION,Cloud,2022-08-31,,2022-10-21,Lead from Email Marketing,,LATAM
LATAM-LEAD-000026,Carlos,López,carlos.lópez@cloudchile.com.ar,+54 9 32 4018-3962,CloudChile,Director,Consumer Goods,Converted,Web Form,Chile,,94871.0,29599501.0,2128.0,Large,B,49.0,CUMBRE-TECH-2024,Cloud,2022-09-16,2023-02-20,2022-10-27,Lead from LinkedIn,www.cloudchile.com.br,LATAM
LATAM-LEAD-000027,Carmen,Oliveira,carmen.oliveira@dataargentina.cl,+55 31 99763-1923,DataArgentina,Gerente,TECH,Converted,LinkedIn,CL,,21980.0,4662695.0,3879.0,201-1000,Cold,59.0,EMAIL-NUTRICION,Analytics Platform,2023-04-20,2023-06-13,2023-05-24,Lead from None,www.dataargentina.com.br,LATAM
LATAM-LEAD-000028,Patricia,Martínez,patricia.martínez@solucionessmart.cl,,SolucionesSmart,Director,Tech,Qualified,Referral,CO,BA,68802.0,,437.0,,Hot,76.0,T4-2024-WEBINAR,Security Suite,2023-10-20,,2023-11-28,,,LATAM
LATAM-LEAD-000029,Carmen,Costa,carmen.costa@innovacolombia.cl,+57 227863848,InnovaColombia,Jefe de TI,Consumer Goods,Disqualified,Trade Show,,,44073.0,40568965.0,2740.0,201-1000,HOT,3.0,PROMO-NAVIDAD-2024,Analytics Platform,2024-01-01,,,,,LATAM
LATAM-LEAD-000030,Maria,Morales,,+54 9 78 3868-2119,InnovaColombia,Jefe de TI,Healthcare,Qualified,Advertisement,CO,SP,82725.0,21304367.0,2577.0,51-200,Warm,39.0,EMAIL-NUTRICION,Security Suite,2023-05-06,,2023-06-02,Lead from LinkedIn,www.innovacolombia.com.br,LATAM
LATAM-LEAD-000031,Fernando,Silva,fernando.silva@dataargentina.cl,+54 9 71 8253-7207,DataArgentina,VP Ventas,Consumer Goods,Contacted,Partner,Peru,BA,61911.0,,2114.0,Medium,,43.0,T4-2024-WEBINAR,Cloud,2024-11-14,,2025-01-27,Lead from Web Form,,LATAM
LATAM-LEAD-000032,Fernando,Fernández,fernando.fernández@solucionessmart.cl,+51 738286878,SolucionesSmart,VP Marketing,,Converted,,AR,RJ,61100.0,34634206.0,2447.0,1 to 10,HOT,56.0,PROMO-NAVIDAD-2024,Cloud,2024-09-09,,2024-10-26,Lead from Advertisement,www.solucionessmart.com.br,LATAM
LATAM-LEAD-000033,Laura,Fernández,LAURA.FERNÁNDEZ@solucionessmart.com.ar,+57 885042792,SolucionesSmart,gerente,Consumer Goods,Converted,Website,PE,SP,49221.0,12685021.0,3711.0,11-50,HOT,,CUMBRE-TECH-2024,cloud suite,2024-11-30,2024-12-29,2025-01-07,Lead from Trade Show,www.solucionessmart.com.br,LATAM
LATAM-LEAD-000034,Maria,Rodríguez,maria.rodríguez@innovacolombia.com.br,+55 13 93439-9653,InnovaColombia,gerente,Education,Qualified,Partner,CO,,,33096361.0,663.0,1000+,C,2.0,t4-2024-webinar,cloud suite,2024-05-21,,2024-08-02,Lead from Cold Call,www.innovacolombia.com.br,LATAM
