LeadID,FirstName,LastName,EmailAddress,PhoneNumber,CompanyName,JobTitle,Industry,LeadStatus,LeadSource,Country,State_Province,PostalCode,AnnualRevenue,NumberOfEmployees,CompanySize,LeadRating,LeadScore,CampaignID,ProductInterest,CreatedDate,ConvertedDate,LastActivityDate,Description,Website,Region
NA-LEAD-000001,William,Johnson,william.johnson@techcorp.com,+1-295-423-4811,TechCorp,manager,Retail & Consumer,Converted,Web Form,,TX,81426.0,30245908.0,63.0,51-200,H,19.0,HOLIDAY-PROMO-2024,Analytics,2023-07-18,2023-08-14,,Lead from Email Marketing,www.techcorp.com,North America
NA-LEAD-000002,Lisa,Jones,lisa.jones@techcorp.io,2468774733,TechCorp,CTO,Financial Services,,LinkedIn,United States,FL,93320.0,11015531.0,1726.0,1 to 10,warm,87.0,q4-2024-webinar,Analytics Platform,2024-07-29,,2024-08-19,Lead from LinkedIn,,North America
NA-LEAD-000003,James,Jones,,(474) 267-4456,,Dir,technology,New,Email Marketing,Canada,WA,94259.0,17875807.0,4608.0,Enterprise,warm,54.0,,,2023-03-26,,2023-04-12,Lead from Referral,,North America
NA-LEAD-000004,Richard,Smith,richard.smith@datainc.co,,DataInc,Manager,,,Referral,,,94012.0,19796460.0,3726.0,1-10,warm,97.0,HOLIDAY-PROMO-2024,Analytics Platform,2022-11-10,,2022-12-18,Lead from None,www.datainc.com,North America
NA-LEAD-000005,Michael,Garcia,michael.garcia@cloudsystems.io,+1-780-280-2403,CloudSystems,,Financial Services,new,,US,TX,82063.0,35511588.0,3476.0,201-1000,C,88.0,HOLIDAY-PROMO-2024,Cloud,2022-01-02,2022-03-03,2022-03-28,Lead from Paid Ads,www.cloudsystems.com,North America
NA-LEAD-000006,Jennifer,Johnson,jennifer@invalid,2604342104,InnovateLab,Manager,Education,Converted,Referral,,TX,73624.0,8979297.0,4687.0,,W,60.0,Q42024WEB,,2023-04-06,,,,www.innovatelab.com,North America
NA-LEAD-000007,James,Miller,james.miller@globalenterprises.com,+1-659-343-7912,GlobalEnterprises,VP Sales,Manufacturing,Contacted,Paid Ads,Canada,,68082.0,37031706.0,,1 to 10,C,11.0,Q42024WEB,Integration Tools,2022-04-21,,,Lead from LinkedIn,www.globalenterprises.com,North America
NA-LEAD-000008,John,Williams,john.williams@futuretech.co,+1-259-793-9883,FutureTech,Manager,technology,Disqualified,Email Marketing,USA,CA,75909.0,35743271.0,4170.0,11-50,Cold,,Q4-2024-WEBINAR,Integration Tools,2022-01-05,,2022-03-18,,www.futuretech.com,North America
NA-LEAD-000009,Lisa,Johnson,lisa.johnson@futuretech.net,+1-523-969-2188,FutureTech,Manager,Finance,Nurturing,web form,United States,CA,76307.0,23521586.0,2011.0,Small,warm,,Q42024WEB,Cloud,2023-10-10,,2024-01-01,Lead from REFERRAL,www.futuretech.com,North America
NA-LEAD-000010,David,Anderson,david.anderson@datainc.net,+1-849-470-9280,DataInc,,Manufacturing,Converted,Web Form,United States,WA,46265.0,,1081.0,1 to 10,warm,,EMAIL-NURTURE-SERIES,,2022-10-03,2023-02-22,2022-10-17,,www.datainc.com,North America
NA-LEAD-000011,Michael,Rodriguez,,(240) 566-4441,TechCorp,CEO,,Qualified,Referral,Mexico,,63264.0,10471898.0,1949.0,51-200,Cold,3.0,HOLIDAY-PROMO-2024,Analytics,2024-01-27,,2024-03-19,Lead from LinkedIn,,North America
NA-LEAD-000012,Richard,Taylor,richard.taylor@datainc.io,,DataInc,CEO,Technology,new,REFERRAL,Canada,FL,19099.0,18831761.0,4183.0,Medium,C,3.0,Q4-2024-WEBINAR,Cloud,2024-02-23,,,Lead from Trade Show,,North America
